baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Symbol	Gene_name	Gene_type
357.450216656084	0.535793470306256	0.39045814385941	1.37221742901891	0.169995761249897	0.457639238392915	TSPAN6	tetraspanin 6	protein-coding
493.449026485651	-0.148930100736178	0.191749468815511	-0.776691073285155	0.437341054753713	0.723358948561717	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	protein-coding
335.514247082196	-0.111324989600749	0.183256516351724	-0.607481751901709	0.543531249191762	0.793942824576467	SCYL3	SCY1 like pseudokinase 3	protein-coding
99.5416010566549	-0.308519231963703	0.195070087418813	-1.58158145129302	0.113745151193448	0.372666826149808	C1orf112	chromosome 1 open reading frame 112	protein-coding
1428.823078868	-0.191186783793599	0.36909931777466	-0.51798194845302	0.604470864114067	0.830758595031627	FGR	FGR proto-oncogene, Src family tyrosine kinase	protein-coding
5451.18572087668	1.57388543550085	0.28818961992594	5.4612842610546	4.72702444747809e-08	1.1763307769923e-05	CFH	complement factor H	protein-coding
554.808774083495	-0.448646649056511	0.22216442409996	-2.01943515877524	0.0434420103418695	0.224315501901637	FUCA2	alpha-L-fucosidase 2	protein-coding
634.661532407112	0.728364263445817	0.38421233494477	1.89573367953041	0.0579952694350785	0.263316673082022	GCLC	glutamate-cysteine ligase catalytic subunit	protein-coding
511.933152755395	0.0111707259459434	0.181969343450378	0.0613879554332162	0.951050244440889	0.983382090892442	NFYA	nuclear transcription factor Y subunit alpha	protein-coding
171.557213346365	0.547289447087864	0.313539499603218	1.74551993538439	0.0808944054109041	0.314504630386165	STPG1	sperm tail PG-rich repeat containing 1	protein-coding
882.940593895923	-0.254364419394698	0.197703587827521	-1.28659485743177	0.198235537079323	0.495376115434784	NIPAL3	NIPA like domain containing 3	protein-coding
463.435323739791	-0.0981576869561082	0.134406442090412	-0.730304927572443	0.465203816899485	0.742366711818249	LAS1L	LAS1 like ribosome biogenesis factor	protein-coding
890.072192419812	-0.103494505644541	0.280224735610143	-0.369326802714966	0.711884149870104	0.886777644937736	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	protein-coding
449.355040761984	-0.751637486289969	0.33923789436916	-2.2156648734296	0.0267144622968552	0.171459557397079	SEMA3F	semaphorin 3F	protein-coding
921.898934402615	-0.431954979096496	0.445224499419656	-0.970195889173986	0.331948859405737	0.636885227750877	CFTR	CF transmembrane conductance regulator	protein-coding
1319.52729164285	0.185380990375099	0.161998615721955	1.14433687935504	0.252483954384914	0.558725355403723	ANKIB1	ankyrin repeat and IBR domain containing 1	protein-coding
284.470705010818	-1.83724151212619	0.347166520718627	-5.29210451607816	1.20916751188717e-07	2.52186279455402e-05	CYP51A1	cytochrome P450 family 51 subfamily A member 1	protein-coding
159.276838813168	0.0331954568753381	0.203140929834803	0.163410972384212	0.870194864291789	0.953841964925589	KRIT1	KRIT1 ankyrin repeat containing	protein-coding
246.795759963265	-0.101143508375917	0.263485859334722	-0.383866931725653	0.701077076813504	0.882199768993342	RAD52	RAD52 homolog, DNA repair protein	protein-coding
304.137575758533	-0.401630048781536	0.16033070642503	-2.50501016141494	0.0122447875477947	0.110668015893172	BAD	BCL2 associated agonist of cell death	protein-coding
1993.71999141801	-0.344279180997072	0.247400952938131	-1.39158389209264	0.164048439410436	0.4489498593663	LAP3	leucine aminopeptidase 3	protein-coding
1829.44575219049	0.171972312469842	0.220516729696519	0.779860615140243	0.435472922961851	0.722037880416786	CD99	CD99 molecule (Xg blood group)	protein-coding
180.067904577811	0.565482532754319	0.427797058978215	1.32184763987149	0.186218890905844	0.479709150917196	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	protein-coding
35.1340004799529	0.676990906573342	0.518383899479474	1.30596437746838	0.191564671940599	0.487119687741196	AOC1	amine oxidase copper containing 1	protein-coding
14.3895893951882	0.721323977005166	0.491112071288924	1.46875635761111	0.141898885249792	0.416547411271473	WNT16	Wnt family member 16	protein-coding
55.702788340331	0.378937745749061	0.505319670827097	0.749897080255798	0.453316693121005	0.734812224814208	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	protein-coding
44.8615668602226	-0.2356362012269	0.288248073016034	-0.817477108385707	0.413655826033246	0.705459384171608	MAD1L1	mitotic arrest deficient 1 like 1	protein-coding
