ENSEMBL	SYMBOL	GENENAME	GENETYPE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000971	CFH	complement factor H	protein-coding	5451.18572087668	1.57388543550085	0.28818961992594	5.4612842610546	4.72702444747809e-08	1.1763307769923e-05
ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1	protein-coding	284.470705010818	-1.83724151212619	0.347166520718627	-5.29210451607816	1.20916751188717e-07	2.52186279455402e-05
ENSG00000004776	HSPB6	heat shock protein family B (small) member 6	protein-coding	170.839392417586	1.2454747016168	0.415525594958451	2.99734773676538	0.00272339866881213	0.0430524390600559
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4	protein-coding	3224.31374669238	1.52849697957169	0.432463104685725	3.534398571833	0.00040870426338143	0.0118545889586622
ENSG00000005102	MEOX1	mesenchyme homeobox 1	protein-coding	59.1477548591975	2.54629202953134	0.546031058544297	4.66327325101191	3.11219068778283e-06	0.000321480489961115
ENSG00000005381	MPO	myeloperoxidase	protein-coding	106.020468003767	-2.55638617256126	0.830759062481359	-3.07716916734642	0.00208976666962503	0.0364942586109399
ENSG00000005961	ITGA2B	integrin subunit alpha 2b	protein-coding	108.824893089893	-1.93055178778074	0.539379214304376	-3.57921057501359	0.000344633693909595	0.0106148147157893
ENSG00000006016	CRLF1	cytokine receptor like factor 1	protein-coding	260.71250090496	1.8379565554761	0.539811976539308	3.40480877667646	0.000662103997472133	0.0168544801489069
ENSG00000007038	PRSS21	serine protease 21	protein-coding	39.1166393936348	-1.57932539475152	0.500140757482051	-3.15776183229417	0.00158985390789895	0.0303013148207824
ENSG00000007908	SELE	selectin E	protein-coding	832.897935468806	2.53811028984599	0.653977148611862	3.88103819106433	0.000104011504332745	0.00466573338493631
ENSG00000008853	RHOBTB2	Rho related BTB domain containing 2	protein-coding	1856.16390632919	-1.257817708964	0.323600249666509	-3.8869491301699	0.000101512016675419	0.00460250859870602
ENSG00000009790	TRAF3IP3	TRAF3 interacting protein 3	protein-coding	254.226631272378	1.0364408250902	0.326616933485952	3.17326114732743	0.00150736873542008	0.0293160461251903
ENSG00000011347	SYT7	synaptotagmin 7	protein-coding	101.876515646816	1.27263365484512	0.378818789606634	3.35947870000488	0.000780896707759194	0.0188448155698816
ENSG00000011590	ZBTB32	zinc finger and BTB domain containing 32	protein-coding	33.6418983958099	1.18184753459537	0.386735781759466	3.0559560049461	0.00224344171805732	0.0380845970416567
ENSG00000012223	LTF	lactotransferrin	protein-coding	2692.00459855609	3.82885986895671	1.02022095769392	3.7529711971526	0.000174750940348608	0.00651937111191512
